p_id,download_state,name,category,subcategory,url,direct_link,brand,votes,rating,tech-spec,specification,description,related,classification
0600-27-016,1,HMS-10 Cinema Surround Loudspeaker ,Electronics,Audio,https://www.bimobject.com/en/meyersound/product/meyersound-hms-10,https://meyersound.com/product/hms/,Meyer Sound,(0 reviewes),No Rating,Unique ref.meyersound-hms-10 Product family Loudspeakers Product group UL TR AType Object (single object)Date of publishing2020-03-12 Edition number2 Height (inches)19.5 Width (inches)15.5 Depth (inch,Unique ref. meyersound-hms-10 Product family Loudspeakers Product group ULTRA Type Object (single object) Date of publishing 2020-03-12 Edition number 2 Height (inches) 19.5 Width (inches) 15.5 Depth ,None,Material main Birch Material secondary Plywood Designed in United States Manufactured in United States Weight Net (Lbs)26.2,B IMobject Category Electronics - Audio IF C classification Object Uniclass 2015 Code Pr_70_75_36_50 Uniclass 2015 Description Loudspeakers CS I Master Format 2014 Code27 24 23 CS I Master Format 2014
0600-57-017,1,AWC62 - All-Weather Compact 2-Way Coaxial Loudspea,Electronics,Audio,https://www.bimobject.com/en/jbl-professional/product/awc62-all-weather-compact-2-way-coaxial-loudspeaker-with-6-5-lf,https://jblpro.com/en/products/awc62,JBL Professional,(0 reviewes),No Rating,Unique ref.A WC62-All-Weather-Compact-2-Way-Coaxial-Loudspeaker-with-6-5-L FProduct family Installed Sound Product group Point Source Speakers Type Object (single object)Date of publishing2020-09-26 E,Unique ref. AWC62-All-Weather-Compact-2-Way-Coaxial-Loudspeaker-with-6-5-LF Product family Installed Sound Product group Point Source Speakers Type Object (single object) Date of publishing 2020-09-26,None,Designed in United States Manufactured in United States,B IMobject Category Electronics - Audio IF C classification Object ET IM Code EC000682 ET IM Name Loudspeaker set UN SP SC name Audio and visual presentation and composing equipment UN SP SC code4511 
0600-50-018,1,UPQ-D2 Narrow Coverage Loudspeakers ,Electronics,Audio,https://www.bimobject.com/en/meyersound/product/meyersound-upq-d2,https://meyersound.com/product/upq/,Meyer Sound,(0 reviewes),No Rating,Unique ref.meyersound-upq-d2 Product family Loudspeakers Product group UL TR AType Object (single object)Date of publishing2019-08-20 Edition number1 Height (inches)28.15 Width (inches)19 Depth (inche,Unique ref. meyersound-upq-d2 Product family Loudspeakers Product group ULTRA Type Object (single object) Date of publishing 2019-08-20 Edition number 1 Height (inches) 28.15 Width (inches) 19 Depth (,None,Material main Birch Material secondary Plywood Designed in United States Manufactured in United States Weight Net (Lbs)95,B IMobject Category Electronics - Audio Uniclass 2015 Code Pr_70_75_36_50 Uniclass 2015 Description Loudspeakers CS I Master Format 2014 Code27 24 23 CS I Master Format 2014 Title Audio-Video Devices 
0600-57-019,1,AC26-WRC/WRX - Ultra Compact 2-way Loudspeaker wit,Electronics,Audio,https://www.bimobject.com/en/jbl-professional/product/ac26-wrc-wrx-ultra-compact-2-way-loudspeaker-with-2-x-6-5-lf,https://jblpro.com/en-US/products/ac26,JBL Professional,(0 reviewes),No Rating,Unique ref.A C26-W RC-W RX-Ultra-Compact-2-way-Loudspeaker-with-2-x-6-5-L FProduct family Installed Sound Product group Point Source Speakers Type Object (single object)Date of publishing2020-09-26 Ed,Unique ref. AC26-WRC-WRX-Ultra-Compact-2-way-Loudspeaker-with-2-x-6-5-LF Product family Installed Sound Product group Point Source Speakers Type Object (single object) Date of publishing 2020-09-26 Ed,None,Designed in United States Manufactured in United States,B IMobject Category Electronics - Audio IF C classification Object ET IM Code EC000682 ET IM Name Loudspeaker set UN SP SC name Audio and visual presentation and composing equipment UN SP SC code4511 
0600-71-020,1,Control 16C-VA - Two-Way 6.5 Co-axial Ceiling Loud,Electronics,Audio,https://www.bimobject.com/en/jbl-professional/product/control-16c-va-two-way-6-5-co-axial-ceiling-loudspeaker-en54-24,https://jblpro.com/products/control-16c-va,JBL Professional,(0 reviewes),No Rating,Unique ref.Control-16 C-V A-Two-Way-6-5-Co-axial-Ceiling-Loudspeaker-E N54-24 Product family Installed Sound Product group Ceiling Speakers Type Object (single object)Date of publishing2020-09-26 Edit,Unique ref. Control-16C-VA-Two-Way-6-5-Co-axial-Ceiling-Loudspeaker-EN54-24 Product family Installed Sound Product group Ceiling Speakers Type Object (single object) Date of publishing 2020-09-26 Edit,None,Designed in United States Manufactured in United States,B IMobject Category Electronics - Audio IF C classification Object ET IM Code EC000682 ET IM Name Loudspeaker set UN SP SC name Audio and visual presentation and composing equipment UN SP SC code4511 
0600-36-021,1,SL Rack Receiver DW ,Electronics,Audio,https://www.bimobject.com/en/sennheiser/product/slrackreceiverdw,https://en-de.sennheiser.com/conferences-rack-receiver-wireless-microphone-sl-dw,Sennheiser,(0 reviewes),No Rating,Unique ref.slrackreceiverdw Product family Business Audio &amp; Communication Product group Presentation Type Object (single object)Date of publishing2020-09-02 Edition number1 Height (mm)43.1 Width (,Unique ref. slrackreceiverdw Product family Business Audio & Communication Product group Presentation Type Object (single object) Date of publishing 2020-09-02 Edition number 1 Height (mm) 43.1 Width ,None,Designed in Germany Manufactured in Germany Weight Net (Kg)0.828,B IMobject Category Electronics - Audio
0600-20-022,1,4253 Professional 3-Way Main Cinema Screen Speaker,Electronics,Audio,https://www.bimobject.com/en/jbl-professional/product/4253_professional-3-way-main-cinema-screen-speaker,https://jblpro.com/en/products/4253,JBL Professional,(0 reviewes),No Rating,Unique ref.4253_professional-3-way-main-cinema-screen-speaker Product family Cinema Sound Product group Medium Format Type Object (single object)Date of publishing2021-11-14 Edition number1,Unique ref. 4253_professional-3-way-main-cinema-screen-speaker Product family Cinema Sound Product group Medium Format Type Object (single object) Date of publishing 2021-11-14 Edition number 1 Produc,None,Designed in United States Manufactured in United States,B IMobject Category Electronics - Audio IF C classification Object ET IM Code EC000682 ET IM Name Loudspeaker set UN SP SC name Audio and visual presentation and composing equipment UN SP SC code4511 
0600-66-023,1,LVH-900/AP Beamforming Venue Horn ,Electronics,Audio,https://www.bimobject.com/en/biamp/product/lvh900ap_community-point-source,https://www.biamp.com/products/product-families/community/point-source#lvh900ap,Biamp,(0 reviewes),No Rating,Unique ref.lvh900ap_community-point-source Product family Community Product group Community Point Source Type Object (single object)Date of publishing2023-04-03 Edition number1,Unique ref. lvh900ap_community-point-source Product family Community Product group Community Point Source Type Object (single object) Date of publishing 2023-04-03 Edition number 1 Product url Install,None,Designed in United States Manufactured in United States,B IMobject Category Electronics - Audio IF C classification Object ET IM Code EC000682 ET IM Name Loudspeaker set UN SP SC name Audio and visual presentation and composing equipment UN SP SC code4511 
0600-56-024,1,ULTRA-X42 Compact Loudspeaker ,Electronics,Audio,https://www.bimobject.com/en/meyersound/product/meyersound-ultra-x42,https://meyersound.com/product/ultra-x/,Meyer Sound,(0 reviewes),No Rating,Unique ref.meyersound-ultra-x42 Product family Loudspeakers Product group UL TR AType Object (single object)Date of publishing2019-08-20 Edition number1 Height (inches)22.31 Width (inches)12.51 Depth ,"Keyword: Loudspeaker, Loudspeakers Unique ref. meyersound-ultra-x42 Product family Loudspeakers Product group ULTRA Type Object (single object) Date of publishing 2019-08-20 Edition number 1 Height (i",None,Material main Plywood Material secondary Steel Designed in United States Manufactured in United States Weight Net (Lbs)52,B IMobject Category Electronics - Audio UN SP SC name Audio and visual presentation and composing equipment UN SP SC code4511 Uniclass 2015 Code Pr_70_75_36_50 Uniclass 2015 Description Loudspeakers C
0600-71-025,1,Control 12C-VA - 3 Compact Ceiling Loudspeaker for,Electronics,Audio,https://www.bimobject.com/en/jbl-professional/product/control-12c-va-3-compact-ceiling-loudspeaker-en54-24,https://jblpro.com/products/control-12c-va,JBL Professional,(0 reviewes),No Rating,Unique ref.Control-12 C-V A-3-Compact-Ceiling-Loudspeaker-E N54-24 Product family Installed Sound Product group Ceiling Speakers Type Object (single object)Date of publishing2020-09-26 Edition number1,Unique ref. Control-12C-VA-3-Compact-Ceiling-Loudspeaker-EN54-24 Product family Installed Sound Product group Ceiling Speakers Type Object (single object) Date of publishing 2020-09-26 Edition number ,None,Designed in United States Manufactured in United States,B IMobject Category Electronics - Audio IF C classification Object ET IM Code EC000682 ET IM Name Loudspeaker set UN SP SC name Audio and visual presentation and composing equipment UN SP SC code4511 
